Title,Bedrooms,Bathrooms,cleaned_price,Full_Location,lat,lon,dist_to_lekki,dist_to_ikeja,Location,Is_Island,Prop_Type,Has_Pool,Has_BQ,New_Build,Bathroom_per_Bedroom,In_Estate,Neighborhood_Tier,Island_x_Beds,Luxury_Score
2 Bedroom Apartment,2,2,85000000.0,Surulere Lagos,6.4855737,3.3539907,12.645023012159905,12.856266720612215,Surulere,0,Flat,0,0,0,1.0,0,4,0,0
4 Bedroom Semi Detached Duplex With Bq,4,4,180000000.0,Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.534919075870757,Ajah,1,Detached Duplex,0,1,0,1.0,0,4,4,0
5 Bedroom Detached Duplex With Pool,5,5,750000000.0,Chevron Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,1,0,0,1.0,0,4,5,1
5 Bedroom Detached Duplex With Bq,5,5,310000000.0,Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.534919075870757,Ajah,1,Detached Duplex,0,1,0,1.0,0,4,5,0
4 Bedroom Semi Detached Duplex With Bq,4,4,250000000.0,Orchid Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,1,0,1.0,0,4,4,0
Newly Built 4 Bedroom Detached Duplex,4,4,230000000.0,Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.534919075870757,Ajah,1,Detached Duplex,0,0,1,1.0,0,4,4,1
5 Bedroom Detached Duplex With Bq,5,5,1600000000.0,Osapa London Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,1,0,1.0,0,4,5,0
Luxurious 4 Bedroom Semi Detached Duplex With Bq,4,4,280000000.0,Orchid Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,1,0,1.0,0,4,4,0
2 Bedroom Apartment With Bq,2,0,220000000.0,Ikate Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Flat,0,1,0,0.0,0,4,2,0
3 Bedroom Terrace Duplex With Bq,3,3,115000000.0,Ikota Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Terrace,0,1,0,1.0,0,4,3,0
5 Bedroom Duplex,5,5,420000000.0,Lekki Phase 1 Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Duplex,0,0,0,1.0,0,4,5,0
Beautiful Luxury 5 Bedroom Detached Duplex With Bq,5,5,385000000.0,Orchid Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,1,0,1.0,0,4,5,0
Beautiful Luxury 3 Bedroom Apartment With Bq,3,3,360000000.0,Lekki Phase 1 Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Flat,0,1,0,1.0,0,4,3,0
2 Bedroom Apartment,2,2,290000000.0,Ikeja Gra Ikeja Lagos,6.5974727,3.3432815,21.044803340125824,1.0271477798224158,Ikeja,0,Flat,0,0,0,1.0,0,5,0,0
Newly Built 3 Bedroom Terrace Duplex With Bq,3,3,550000000.0,Lekki Phase 1 Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Terrace,0,1,1,1.0,0,4,3,1
4 Bedroom Semi Detached Duplex With Bq,4,4,150000000.0,Ikota Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,1,0,1.0,0,4,4,0
Newly Built 4 Bedroom Semi Detached Duplex,4,4,130000000.0,Ikota Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,1,1.0,0,4,4,1
