Title,Location,Price,Bedrooms,Bathrooms,URL
2 Bedroom Apartment,Victoria Island Lagos,"₦ 450,000,000",2,2,https://propertypro.ng/property/2-bedroom-house-for-sale-victoria-island-lagos-3NUWV
Luxury 5 Bedroom Fully Detached Duplex With 2 Bq,Banana Island Ikoyi Lagos,"₦ 6,000,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-banana-island-ikoyi-lagos-9NTSD
Brand New 4 Bedroom Detached Duplex,Ajah Lagos,"₦ 180,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ajah-lagos-9NUWC
6 Bedroom Detached Duplex,Ikota Lekki Lagos,"₦ 600,000,000",6,6,https://propertypro.ng/property/6-bedroom-house-for-sale-ikota-lekki-lagos-7NUYL
5 Bedroom Detached Duplex,2nd Toll Gate Lekki Lagos,"₦ 680,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-2nd-toll-gate-lekki-lagos-4NVEF
Brand New 5 Bedroom Detached Duplex,Sangotedo Ajah Lagos,"₦ 240,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-sangotedo-ajah-lagos-5NUWE
4 Bedroom Semi Detached Duplex With Bq,Ikota Lekki Lagos,"₦ 180,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ikota-lekki-lagos-4NVAL
Brand New 3 Bedroom Semi Detached Duplex,Ikota Lekki Lagos,"₦ 150,000,000",3,3,https://propertypro.ng/property/3-bedroom-house-for-sale-ikota-lekki-lagos-0NVAL
4 Bedroom Semi Detached Duplex,Ikota Lekki Lagos,"₦ 200,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ikota-lekki-lagos-3NULX
5 Bedroom Detached Duplex,2nd Toll Gate Lekki Lagos,"₦ 420,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-2nd-toll-gate-lekki-lagos-4NVEM
2 Bedroom Terrace Duplex,Ajah Lagos,"₦ 100,000,000",2,2,https://propertypro.ng/property/2-bedroom-house-for-sale-ajah-lagos-7NUXF
3 Bedroom Apartment,Victoria Island Lagos,"₦ 600,000,000",3,3,https://propertypro.ng/property/3-bedroom-house-for-sale-victoria-island-lagos-6NUWV
5 Bedroom Detached Duplex,Osapa London Lekki Lagos,"₦ 1,550,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-osapa-london-lekki-lagos-5NVED
Beautiful Luxury 2 Bedroom Apartment With Gym,Lekki Phase 1 Lekki Lagos,"₦ 250,000,000",2,2,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-lekki-phase-1-lekki-lagos-6NRFK
Brand New 5 Bedroom Detached Duplex,Chevron Lekki Lagos,"₦ 430,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-chevron-lekki-lagos-6NVBJ
